time,total,ipad,water_heater,lamp
2020-5-24 15:40:25,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:40:35,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:40:45,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:40:55,8.524471254798732,4.236948941954832,0.0,0.0
2020-5-24 15:41:5,10.652523112160281,6.370479708832963,0.0,0.0
2020-5-24 15:41:15,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:41:25,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:41:35,8.524471254798732,4.236948941954832,0.0,0.0
2020-5-24 15:41:45,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:41:55,10.652523112160281,6.370479708832963,0.0,0.0
2020-5-24 15:42:5,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:42:15,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:42:25,10.652523112160281,4.236948941954832,0.0,0.0
2020-5-24 15:42:35,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:42:45,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:42:55,10.652523112160281,6.370479708832963,0.0,0.0
2020-5-24 15:43:5,8.524471254798732,4.236948941954832,0.0,0.0
2020-5-24 15:43:15,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:43:25,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:43:35,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:43:45,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:43:55,10.652523112160281,4.236948941954832,0.0,0.0
2020-5-24 15:44:5,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:44:15,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:44:25,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:44:35,8.524471254798732,4.236948941954832,0.0,0.0
2020-5-24 15:44:45,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:44:55,10.652523112160281,6.370479708832963,0.0,0.0
2020-5-24 15:45:5,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:45:15,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:45:25,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:45:35,8.524471254798732,4.236948941954832,0.0,0.0
2020-5-24 15:45:45,10.652523112160281,6.370479708832963,0.0,0.0
2020-5-24 15:45:55,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:46:5,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:46:15,8.524471254798732,4.236948941954832,0.0,0.0
2020-5-24 15:46:25,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:46:35,10.652523112160281,6.370479708832963,0.0,0.0
2020-5-24 15:46:45,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:46:55,10.652523112160281,6.370479708832963,0.0,0.0
2020-5-24 15:47:5,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:47:15,8.524471254798732,4.236948941954832,0.0,0.0
2020-5-24 15:47:25,10.652523112160281,6.370479708832963,0.0,0.0
2020-5-24 15:47:35,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:47:45,10.652523112160281,6.370479708832963,0.0,0.0
2020-5-24 15:47:55,8.524471254798732,4.236948941954832,0.0,0.0
2020-5-24 15:48:5,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:48:15,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:48:25,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:48:35,10.652523112160281,6.370479708832963,0.0,0.0
2020-5-24 15:48:45,8.524471254798732,6.370479708832963,0.0,2.130227803379574
2020-5-24 15:48:55,8.524471254798732,4.236948941954832,0.0,0.0
2020-5-24 15:49:5,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:49:15,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:49:25,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:49:35,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:49:45,8.524471254798732,6.370479708832963,0.0,2.130227803379574
2020-5-24 15:49:55,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:50:5,8.524471254798732,4.236948941954832,0.0,0.0
2020-5-24 15:50:15,10.652523112160281,6.370479708832963,0.0,0.0
2020-5-24 15:50:25,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:50:35,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:50:45,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:50:55,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:51:5,10.652523112160281,6.370479708832963,0.0,0.0
2020-5-24 15:51:15,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:51:25,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:51:35,10.652523112160281,6.370479708832963,0.0,0.0
2020-5-24 15:51:45,8.524471254798732,6.370479708832963,0.0,0.0
2020-5-24 15:51:55,8.524471254798732,4.236948941954832,0.0,0.0
2020-5-24 15:52:5,8.524471254798732,6.370479708832963,0.0,0.0
